date,ise_satoshi_threads,ise_satoshi_ig,satoshi_mindset_threads,satoshi_mindset_ig,satoshi_mind_coaching_threads,satoshi_mind_coaching_ig,ise_sato_kosodate_threads,ise_sato_kosodate_ig,sessi_life_threads,sessi_life_ig,ise_kenkou_otaku_threads,ise_kenkou_otaku_ig,tabi_life_design_threads,tabi_life_design_ig,ko_gi_omoti_threads,ko_gi_omoti_ig,line_friends,note_subscribers
2026-07-13,509,,0,0,,0,0,23,,672,,98,1,0,16,136,1,
2026-07-13,509,,0,0,,0,0,23,,672,,98,1,0,16,136,1,
2026-07-14,509,,0,0,1,0,0,23,221,672,12,98,1,0,16,136,1,
2026-07-14,509,,0,0,1,0,0,23,221,672,12,98,1,0,16,136,1,
2026-07-20,508,,0,0,1,0,0,22,220,671,12,98,1,0,16,140,1,
2026-07-27,509,,0,18,1,5,0,32,220,683,12,103,1,8,16,141,3,
2026-08-03,,,,38,1,5,0,41,219,689,13,104,1,17,16,143,3,
2026-08-10,,,,42,1,10,0,41,220,685,13,106,1,19,16,149,3,
2026-08-17,,,,42,2,13,0,42,220,684,13,106,1,21,16,149,3,
2026-08-24,,,,42,2,14,0,42,220,682,14,106,2,23,16,151,3,
